"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 2132414 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 2132201 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00020 2131988 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00030 2131775 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00040 2131562 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.00050 2131349 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.00060 2131136 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.00070 2130923 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.00080 2130710 0.0 1.0000 1.0000 0.9991 1.0000 1.0000 1.0000 0.9991
0.00090 2130497 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00100 2130284 0.0 1.0000 1.0000 0.9989 1.0000 1.0000 1.0000 0.9989
0.00110 2130071 0.0 1.0000 1.0000 0.9989 1.0000 1.0000 1.0000 0.9989
0.00120 2129858 0.0 1.0000 1.0000 0.9988 1.0000 1.0000 1.0000 0.9988
0.00130 2129645 0.0 1.0000 1.0000 0.9988 1.0000 1.0000 1.0000 0.9988
0.00140 2129432 0.0 1.0000 1.0000 0.9987 1.0000 1.0000 1.0000 0.9987
0.00150 2129219 0.0 1.0000 1.0000 0.9986 1.0000 1.0000 1.0000 0.9986
0.00160 2129006 0.0 1.0000 1.0000 0.9985 1.0000 1.0000 1.0000 0.9985
0.00170 2128793 0.0 1.0000 1.0000 0.9983 1.0000 1.0000 1.0000 0.9983
0.00180 2128580 0.0 1.0000 1.0000 0.9982 1.0000 1.0000 1.0000 0.9982
0.00190 2128367 0.0 1.0000 1.0000 0.9981 1.0000 1.0000 1.0000 0.9981
0.00200 2128154 0.0 1.0000 1.0000 0.9980 1.0000 1.0000 1.0000 0.9980
0.00210 2127941 0.0 1.0000 1.0000 0.9979 1.0000 1.0000 1.0000 0.9979
0.00220 2127728 0.0 1.0000 1.0000 0.9977 1.0000 1.0000 1.0000 0.9977
0.00230 2127515 0.0 1.0000 1.0000 0.9976 1.0000 1.0000 1.0000 0.9976
0.00240 2127302 0.0 1.0000 1.0000 0.9975 1.0000 1.0000 1.0000 0.9975
0.00250 2127089 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00260 2126876 0.0 1.0000 1.0000 0.9973 1.0000 1.0000 1.0000 0.9973
0.00270 2126663 0.0 1.0000 1.0000 0.9971 1.0000 1.0000 1.0000 0.9971
0.00280 2126450 0.0 1.0000 1.0000 0.9970 1.0000 1.0000 1.0000 0.9970
0.00290 2126237 0.0 1.0000 1.0000 0.9969 1.0000 1.0000 1.0000 0.9969
0.00300 2126024 0.0 1.0000 1.0000 0.9968 1.0000 1.0000 1.0000 0.9968
0.00310 2125811 0.0 1.0000 1.0000 0.9967 1.0000 1.0000 1.0000 0.9967
0.00320 2125598 0.0 1.0000 1.0000 0.9965 1.0000 1.0000 1.0000 0.9965
0.00330 2125385 0.0 1.0000 1.0000 0.9964 1.0000 1.0000 1.0000 0.9964
0.00340 2125172 0.0 1.0000 1.0000 0.9963 1.0000 1.0000 1.0000 0.9963
0.00350 2124959 0.0 1.0000 1.0000 0.9962 1.0000 1.0000 1.0000 0.9962
0.00360 2124746 0.0 1.0000 1.0000 0.9961 1.0000 1.0000 1.0000 0.9961
0.00370 2124533 0.0 1.0000 1.0000 0.9960 1.0000 1.0000 1.0000 0.9960
0.00380 2124320 0.0 1.0000 1.0000 0.9958 1.0000 1.0000 1.0000 0.9958
0.00390 2124107 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00400 2123894 0.0 0.9999 1.0000 0.9956 0.9999 0.9999 1.0000 0.9956
0.00410 2123681 0.0 0.9999 1.0000 0.9955 0.9999 0.9999 1.0000 0.9955
