"number" "dsum" "count" "missing" "quant_error" "fname"
0 899928. 899928 12259830 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Accipiter_henstii.tif"
1 1.11898e+06 1118981 12040777 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Accipiter_madagascariensis.tif"
2 1.3241e+06 1324096 11835662 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Acrocephalus_newtoni.tif"
3 763884. 763884 12395874 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Alectroenas_madagascariensis.tif"
4 801.0 801 13158957 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Allocebus_trichotis.tif"
5 1767.0 1767 13157991 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Anas_bernieri.tif"
6 1.07055e+06 1070554 12089204 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Apus_balstoni.tif"
7 1.31441e+06 1314408 11845350 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Artamella_viridis.tif"
8 785908. 785908 12373850 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Asio_madagascariensis.tif"
9 128759. 128759 13030999 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Atelornis_crossleyi.tif"
10 473084. 473084 12686674 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Atelornis_pittoides.tif"
11 841192. 841192 12318566 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Athene_superciliaris.tif"
12 425054. 425054 12734704 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Avahi_laniger.tif"
13 6911.0 6911 13152847 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Avahi_occidentalis.tif"
14 1.20140e+06 1201404 11958354 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Aviceda_madagascariensis.tif"
15 1.1e+06 1100003 12059755 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Bernieria_madagascariensis.tif"
16 411337. 411337 12748421 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Brachypteracias_leptosomus.tif"
17 20047.0 20047 13139711 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Brachytarsomys_albicauda.tif"
18 158774. 158774 13000984 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Brachyuromys_betsileoensis.tif"
19 1014.0 1014 13158744 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Brachyuromys_ramirohitra.tif"
20 141744. 141744 13018014 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Bradypterus_brunneus.tif"
21 809.0 809 13158949 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Bradypterus_seebohmi.tif"
22 1.2989e+06 1298901 11860857 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Buteo_brachypterus.tif"
23 1.11813e+06 1118133 12041625 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Calicalicus_madagascariensis.tif"
24 63488.0 63488 13096270 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Cheirogaleus_crossleyi.tif"
25 809081. 809081 12350677 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Cheirogaleus_major.tif"
26 708287. 708287 12451471 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Cheirogaleus_medius.tif"
27 1.29975e+06 1299753 11860005 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Cinnyris_notatus.tif"
28 660405. 660405 12499353 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Copsychus_albospecularis.tif"
29 1.25052e+06 1250525 11909233 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coracopsis_nigra.tif"
30 1.01096e+06 1010958 12148800 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Corythornis_madagascariensis.tif"
31 479976. 479976 12679782 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coua_caerulea.tif"
32 344511. 344511 12815247 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coua_coquereli.tif"
33 915440. 915440 12244318 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coua_cristata.tif"
34 210187. 210187 12949571 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coua_cursor.tif"
35 353009. 353009 12806749 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coua_gigas.tif"
36 409137. 409137 12750621 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coua_reynaudii.tif"
37 14657.0 14657 13145101 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coua_ruficeps.tif"
38 357213. 357213 12802545 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Coua_serriana.tif"
39 45658.0 45658 13114100 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Crossleyia_xanthophrys.tif"
40 411390. 411390 12748368 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Cryptoprocta_ferox.tif"
41 65692.0 65692 13094066 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Cryptosylvicola_randrianasoloi.tif"
42 1.23279e+06 1232792 11926966 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Cyanolanius_madagascarinus.tif"
43 427138. 427138 12732620 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Daubentonia_madagascariensis.tif"
44 660343. 660343 12499415 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Echinops_telfairi.tif"
45 767.0 767 13158991 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eliurus_antsingy.tif"
46 10223.0 10223 13149535 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eliurus_grandidieri.tif"
47 505380. 505380 12654378 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eliurus_majori.tif"
48 825536. 825536 12334222 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eliurus_minor.tif"
49 998628. 998628 12161130 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eliurus_myoxinus.tif"
50 542149. 542149 12617609 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eliurus_tanala.tif"
51 711727. 711727 12448031 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eliurus_webbi.tif"
52 46400.0 46400 13113358 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eremopterix_hova.tif"
53 230639. 230639 12929119 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_albifrons.tif"
54 1.15522e+06 1155224 12004534 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_cinereiceps.tif"
55 1.13014e+06 1130143 12029615 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_collaris.tif"
56 338616. 338616 12821142 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_coronatus.tif"
57 272.0 272 13159486 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_flavifrons.tif"
58 1.1618e+06 1161803 11997955 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_fulvus.tif"
59 437532. 437532 12722226 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_macaco.tif"
60 24810.0 24810 13134948 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_mongoz.tif"
61 944632. 944632 12215126 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_rubriventer.tif"
62 589938. 589938 12569820 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_rufus.tif"
63 1.16008e+06 1160081 11999677 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Eulemur_sanfordi.tif"
64 31004.0 31004 13128754 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Euryceros_prevostii.tif"
65 821861. 821861 12337897 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Falco_zoniventris.tif"
66 350193. 350193 12809565 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Falculea_palliata.tif"
67 538099. 538099 12621659 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Fossa_fossana.tif"
68 1.69167e+06 1691667 11468091 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Foudia_madagascariensis.tif"
69 573568. 573568 12586190 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Foudia_omissa.tif"
70 545046. 545046 12614712 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Gactornis_enarratus.tif"
71 552688. 552688 12607070 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Galidia_elegans.tif"
72 46480.0 46480 13113278 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Galidictis_fasciata.tif"
73 120950. 120950 13038808 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Geobiastes_squamiger.tif"
74 364722. 364722 12795036 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Geogale_aurita.tif"
75 296276. 296276 12863482 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Gymnuromys_roberti.tif"
76 56404.0 56404 13103354 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Haliaeetus_vociferoides.tif"
77 125899. 125899 13033859 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hapalemur_alaotrensis.tif"
78 20298.0 20298 13139460 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hapalemur_aureus.tif"
79 1.07086e+06 1070860 12088898 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hapalemur_griseus.tif"
80 11288.0 11288 13148470 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hapalemur_occidentalis.tif"
81 90205.0 90205 13069553 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hartertula_flavoviridis.tif"
82 1.13128e+06 1131280 12028478 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hartlaubius_auratus.tif"
83 22779.0 22779 13136979 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hemicentetes_nigriceps.tif"
84 811078. 811078 12348680 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hemicentetes_semispinosus.tif"
85 1175.0 1175 13158583 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hypogeomys_antimena.tif"
86 692953. 692953 12466805 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Hypositta_corallirostris.tif"
87 705335. 705335 12454423 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Indri_indri.tif"
88 325327. 325327 12834431 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lemur_catta.tif"
89 1.7815e+06 1781499 11378259 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepidopygia_nana.tif"
90 3912.0 3912 13155846 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_ankaranensis.tif"
91 113495. 113495 13046263 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_edwardsi.tif"
92 258393. 258393 12901365 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_leucopus.tif"
93 53237.0 53237 13106521 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_microdon.tif"
94 1.02786e+06 1027860 12131898 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_mustelinus.tif"
95 214180. 214180 12945578 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_ruficaudatus.tif"
96 1.50626e+06 1506262 11653496 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Leptopterus_chabert.tif"
97 921097. 921097 12238661 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lophotibis_cristata.tif"
98 92007.0 92007 13067751 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Macrotarsomys_bastardi.tif"
