stage,stage_order,x,mean_persist_pipe,mean_persist_rank,median_persist_pipe,median_persist_rank,frac_gt_05_pipe,frac_gt_05_rank,total_pu_area_km2_pipe,total_pu_area_km2_rank,mean_persist_diff_pipe_minus_rank,median_persist_diff_pipe_minus_rank,total_pu_area_diff_pipe_minus_rank
0,0,0,0.891744783911603,0.891744783911603,0.999999918919508,0.999999918919508,0.895604395604396,0.895604395604396,8178380.72624704,8178380.72624704,0,0,0
1,1,4.74865574883676,0.891745083807815,0.891761549815121,0.99999994883828,0.999999941958169,0.895604395604396,0.895604395604396,8111340.733195,8141907.25201982,-1.64660073059819e-05,6.88011025928859e-09,-30566.5188248176
2,2,9.45013491751602,0.891754990654752,0.89171892509963,0.999999970809059,0.999999953472473,0.895604395604396,0.895604395604396,7920116.84684299,8066173.37389985,3.60655551219224e-05,1.73365864997166e-08,-146056.527056865
3,3,14.1409219785651,0.891764998338437,0.891597313267372,0.99999997574349,0.999999975248971,0.895604395604396,0.895604395604396,7874094.88898013,7967235.66148871,0.000167685071065016,4.94518870297611e-10,-93140.772508583
4,4,18.8353199706999,0.891766455014895,0.891494967625554,0.99999996958235,0.99999998426477,0.895604395604396,0.895604395604396,7664104.09004522,7853994.06049898,0.000271487389340686,-1.46824192803763e-08,-189889.970453762
5,5,23.5299055436702,0.891745383329106,0.891263867066266,0.999999986165966,0.999999983566283,0.895604395604396,0.895604395604396,7391200.34464637,7716015.20403873,0.000481516262839099,2.59968335747374e-09,-324814.85939236
6,6,28.2220994609865,0.891691265679819,0.8907679869734,0.999999985420542,0.999999974669681,0.895604395604396,0.895604395604396,7202663.13289054,7555694.36335565,0.000923278706419062,1.0750860535147e-08,-353031.230465116
7,7,32.9130272076623,0.891639377699373,0.890332114998651,0.999999985171674,0.999999989828186,0.895604395604396,0.895604395604396,6946617.80703805,7358742.98514565,0.00130726270072201,-4.65651128767064e-09,-412125.178107595
8,8,37.603063945369,0.891510670964692,0.890111255367453,0.999999999081556,0.99999999212551,0.895604395604396,0.895604395604396,6713793.14853627,7122425.14687986,0.00139941559723833,6.95604640554848e-09,-408631.998343589
9,9,42.294366853716,0.891452394433399,0.889906507930363,0.999999998929798,0.999999993520525,0.895604395604396,0.895604395604396,6479276.99485425,6856802.39748425,0.00154588650303633,5.40927302949967e-09,-377525.402630008
10,10,46.984731857885,0.891215752873117,0.889429514097114,0.999999999551106,0.999999990067928,0.895604395604396,0.895604395604396,6177071.60083448,6555473.5025244,0.0017862387760027,9.48317757654138e-09,-378401.90168992
11,11,51.6772071464547,0.891104825195962,0.88897378574209,0.99999999986082,0.999999992079731,0.895604395604396,0.895604395604396,5876436.5187112,6184001.54568192,0.00213103945387216,7.78108866228422e-09,-307565.026970721
12,12,56.3696355398155,0.891031053720832,0.888033259419454,0.999999999702269,0.999999994497932,0.895604395604396,0.895604395604396,5464755.21584842,5780338.83714802,0.00299779430137848,5.20433696138412e-09,-315583.621299608
13,13,61.0801185886043,0.890515122599439,0.886175691554999,0.99999999876475,0.999999998508242,0.895604395604396,0.89010989010989,5082045.39425416,5321455.9330371,0.00433943104444012,2.56507259877026e-10,-239410.538782944
14,14,65.7855369548315,0.889629339912874,0.884439671057555,0.999999999290954,0.999999997737346,0.895604395604396,0.89010989010989,4598954.87389729,4804698.43034081,0.00518966885531891,1.5536079089884e-09,-205743.556443516
15,15,70.4793253092505,0.888356613055026,0.882220583155787,0.999999996082283,0.999999990473734,0.895604395604396,0.89010989010989,4038884.68503816,4252702.88369025,0.00613602989923934,5.60854895859109e-09,-213818.198652093
16,16,75.1702061607174,0.885591255457694,0.875578197424198,0.999999954898405,0.999999977499651,0.895604395604396,0.879120879120879,3435338.56348606,3664519.11106895,0.0100130580334952,-2.26012466519876e-08,-229180.547582888
17,17,79.8661985899549,0.883318469950693,0.867018529106336,0.99999980182294,0.999999967128218,0.895604395604396,0.879120879120879,2824902.34479506,3003007.89819987,0.0162999408443576,-1.65305277688432e-07,-178105.55340481
18,18,84.5572201270485,0.877436527032663,0.859859671844647,0.999998894513594,0.999999997127069,0.89010989010989,0.868131868131868,2093963.67533964,2332590.87803146,0.0175768551880158,-1.10261347452401e-06,-238627.202691825
19,19,89.261981960351,0.867916128292177,0.849258449208542,0.999894948653236,0.999999748918441,0.879120879120879,0.857142857142857,1432917.81677328,1641374.62446007,0.0186576790836347,-0.000104800265204208,-208456.807686788
20,20,93.953331763907,0.846289561916036,0.816000979013122,0.999260356975635,0.999939360876931,0.840659340659341,0.807692307692308,783351.652245489,913074.949956496,0.0302885829029136,-0.00067900390129616,-129723.297711007
21,21,98.6595004534767,0.67535054246481,0.5966955925291,0.866600550236337,0.750463190915987,0.686813186813187,0.615384615384615,170417.790651573,182779.724668565,0.0786549499357101,0.11613735932035,-12361.9340169923
22,22,99.7962403173118,0.34921654331653,0.145844780399547,0.126846339408312,0.000738979513964344,0.362637362637363,0.142857142857143,33811.4477885458,21750.8206592126,0.203371762916984,0.126107359894348,12060.6271293332
