stage,stage_order,x,mean_persist_pipe,mean_persist_rank,median_persist_pipe,median_persist_rank,frac_gt_05_pipe,frac_gt_05_rank,total_pu_area_km2_pipe,total_pu_area_km2_rank,mean_persist_diff_pipe_minus_rank,median_persist_diff_pipe_minus_rank,total_pu_area_diff_pipe_minus_rank
0,0,0,0.891744783911603,0.891744783911603,0.999999918919508,0.999999918919508,0.895604395604396,0.895604395604396,8178380.72624704,8178380.72624704,0,0,0
1,1,4.74865574883676,0.891745083807815,0.891761333580506,0.99999994883828,0.999999941959113,0.895604395604396,0.895604395604396,8111340.733195,8141740.31848464,-1.62497726911015e-05,6.87916712482917e-09,-30399.5852896432
2,2,9.45013491751602,0.891754990654752,0.891718983209869,0.999999970809059,0.999999962223814,0.895604395604396,0.895604395604396,7920116.84684299,8063894.60349893,3.60074448830794e-05,8.58524562552532e-09,-143777.756655941
3,3,14.1409219785651,0.891764998338437,0.891594602522166,0.99999997574349,0.999999975223569,0.895604395604396,0.895604395604396,7874094.88898013,7966818.62375293,0.000170395816270985,5.1992055105643e-10,-92723.7347728005
4,4,18.8353199706999,0.891766455014895,0.891485694385566,0.99999996958235,0.99999998425634,0.895604395604396,0.895604395604396,7664104.09004522,7853015.76216977,0.000280760629329024,-1.46739893569503e-08,-188911.672124548
5,5,23.5299055436702,0.891745383329106,0.891374393753779,0.999999986165966,0.999999982409964,0.895604395604396,0.895604395604396,7391200.34464637,7706797.24506109,0.000370989575326997,3.756001620836e-09,-315596.900414717
6,6,28.2220994609865,0.891691265679819,0.890999904774987,0.999999985420542,0.999999979112033,0.895604395604396,0.895604395604396,7202663.13289054,7533615.15942964,0.000691360904832572,6.30850860439125e-09,-330952.026539106
7,7,32.9130272076623,0.891639377699373,0.890488555422562,0.999999985171674,0.999999987542501,0.895604395604396,0.895604395604396,6946617.80703805,7332779.85403243,0.00115082227681096,-2.37082642406961e-09,-386162.046994384
8,8,37.603063945369,0.891510670964692,0.890101723247741,0.999999999081556,0.999999993945229,0.895604395604396,0.895604395604396,6713793.14853627,7094439.34544737,0.00140894771695099,5.13632714138623e-09,-380646.1969111
9,9,42.294366853716,0.891452394433399,0.889899868176141,0.999999998929798,0.99999999340166,0.895604395604396,0.895604395604396,6479276.99485425,6825646.20274201,0.00155252625725821,5.52813839149735e-09,-346369.207887766
10,10,46.984731857885,0.891215752873117,0.889517376963785,0.999999999551106,0.999999992035868,0.895604395604396,0.895604395604396,6177071.60083448,6522852.12726729,0.00169837590933253,7.51523776543195e-09,-345780.526432811
11,11,51.6772071464547,0.891104825195962,0.888962822539319,0.99999999986082,0.999999990723706,0.895604395604396,0.895604395604396,5876436.5187112,6152117.02160927,0.00214200265664288,9.13711339922685e-09,-275680.502898079
12,12,56.3696355398155,0.891031053720832,0.888290450263266,0.999999999702269,0.999999998082563,0.895604395604396,0.895604395604396,5464755.21584842,5737536.47095226,0.00274060345756599,1.61970559187097e-09,-272781.255103849
13,13,61.0801185886043,0.890515122599439,0.887201777542975,0.99999999876475,0.999999998656123,0.895604395604396,0.895604395604396,5082045.39425416,5262284.74833811,0.00331334505646419,1.08626663219979e-10,-180239.354083953
14,14,65.7855369548315,0.889629339912874,0.885788069918374,0.999999999290954,0.999999995662295,0.895604395604396,0.89010989010989,4598954.87389729,4746187.66542402,0.00384126999449963,3.6286593729784e-09,-147232.791526736
15,15,70.4793253092505,0.888356613055026,0.883554545783675,0.999999996082283,0.999999990361912,0.895604395604396,0.89010989010989,4038884.68503816,4195870.4128714,0.00480206727135069,5.72037062163133e-09,-156985.727833244
16,16,75.1702061607174,0.885591255457694,0.876755522442639,0.999999954898405,0.999999983377795,0.895604395604396,0.879120879120879,3435338.56348606,3605349.4851966,0.00883573301505458,-2.84793906235592e-08,-170010.921710541
17,17,79.8661985899549,0.883318469950693,0.869658998749781,0.99999980182294,0.999999944398173,0.895604395604396,0.879120879120879,2824902.34479506,2963357.81542423,0.0136594712009126,-1.42575232287001e-07,-138455.470629172
18,18,84.5572201270485,0.877436527032663,0.864442221000821,0.999998894513594,0.999999996893702,0.89010989010989,0.873626373626374,2093963.67533964,2300683.30442001,0.012994306031842,-1.1023801079757e-06,-206719.629080374
19,19,89.261981960351,0.867916128292177,0.85377178755578,0.999894948653236,0.999999804656391,0.879120879120879,0.868131868131868,1432917.81677328,1618606.0574465,0.0141443407363973,-0.000104856003154907,-185688.240673219
20,20,93.953331763907,0.846289561916036,0.820199909793201,0.999260356975635,0.999948388980916,0.840659340659341,0.824175824175824,783351.652245489,909189.086355632,0.026089652122835,-0.000688032005281003,-125837.434110143
21,21,98.6595004534767,0.67535054246481,0.599573394193941,0.866600550236337,0.792723317297449,0.686813186813187,0.60989010989011,170417.790651573,186463.669247476,0.0757771482708688,0.073877232938888,-16045.8785959036
22,22,99.7962403173118,0.34921654331653,0.152657440527137,0.126846339408312,0.000543853214789669,0.362637362637363,0.148351648351648,33811.4477885458,22705.8922536999,0.196559102789393,0.126302486193523,11105.5555348459
