method,stage,stage_order,x,scientificName,species,className,sp_persist,n_pu,total_pu_area_km2
pipe,0,0,0,Accipiter henstii,Accipiter_henstii,AVES,0.765875108539227,1,81405.8352855587
pipe,0,0,0,Accipiter madagascariensis,Accipiter_madagascariensis,AVES,0.927685507869511,1,100295.882031971
pipe,0,0,0,Acrocephalus newtoni,Acrocephalus_newtoni,AVES,0.999999999999481,10,119748.628033797
pipe,0,0,0,Alectroenas madagascariensis,Alectroenas_madagascariensis,AVES,0.998532955338285,6,68964.4888693073
pipe,0,0,0,Allocebus trichotis,Allocebus_trichotis,MAMMALIA,0.00783473496029241,3,72.1001097191941
pipe,0,0,0,Anas bernieri,Anas_bernieri,AVES,0,1,161.555721101997
pipe,0,0,0,Apus balstoni,Apus_balstoni,AVES,0.999999002903074,6,96782.468488452
pipe,0,0,0,Artamella viridis,Artamella_viridis,AVES,0.999991790126899,10,118037.351054388
pipe,0,0,0,Asio madagascariensis,Asio_madagascariensis,AVES,0.880258448741697,2,70836.8714421994
pipe,0,0,0,Atelornis crossleyi,Atelornis_crossleyi,AVES,0.999998758967357,7,11572.6222161697
pipe,0,0,0,Atelornis pittoides,Atelornis_pittoides,AVES,0.999745020877506,3,42621.3326259036
pipe,0,0,0,Athene superciliaris,Athene_superciliaris,AVES,0.999598784043913,1,75154.9789321164
pipe,0,0,0,Avahi laniger,Avahi_laniger,MAMMALIA,1,111,38253.4654300891
pipe,0,0,0,Avahi occidentalis,Avahi_occidentalis,MAMMALIA,0.996177513146535,4,630.90092483603
pipe,0,0,0,Aviceda madagascariensis,Aviceda_madagascariensis,AVES,0.97750066274377,1,107532.281324075
pipe,0,0,0,Bernieria madagascariensis,Bernieria_madagascariensis,AVES,0.999999520455142,10,99394.0554042342
pipe,0,0,0,Brachypteracias leptosomus,Brachypteracias_leptosomus,AVES,0.999771336916958,1,37031.6513341992
pipe,0,0,0,Brachytarsomys albicauda,Brachytarsomys_albicauda,MAMMALIA,0.999999991596676,50,1815.1748536385
pipe,0,0,0,Brachyuromys betsileoensis,Brachyuromys_betsileoensis,MAMMALIA,1,117,14393.3535845593
pipe,0,0,0,Brachyuromys ramirohitra,Brachyuromys_ramirohitra,MAMMALIA,0.655414845690046,2,90.5857082152947
pipe,0,0,0,Bradypterus brunneus,Bradypterus_brunneus,AVES,1,38,12772.3634521563
pipe,0,0,0,Bradypterus seebohmi,Bradypterus_seebohmi,AVES,0.452718233996164,1,71.7493427546057
pipe,0,0,0,Buteo brachypterus,Buteo_brachypterus,AVES,0.872058171840981,1,116634.251730965
pipe,0,0,0,Calicalicus madagascariensis,Calicalicus_madagascariensis,AVES,0.999999999949407,13,101012.694085224
pipe,0,0,0,Cheirogaleus crossleyi,Cheirogaleus_crossleyi,MAMMALIA,1,92,5731.87398069381
pipe,0,0,0,Cheirogaleus major,Cheirogaleus_major,MAMMALIA,1,281,72957.4461733377
pipe,0,0,0,Cheirogaleus medius,Cheirogaleus_medius,MAMMALIA,1,1693,63243.3814837725
pipe,0,0,0,Cinnyris notatus,Cinnyris_notatus,AVES,0.99999995559106,16,117370.484149475
pipe,0,0,0,Copsychus albospecularis,Copsychus_albospecularis,AVES,0.999995735454347,5,59545.5432791211
pipe,0,0,0,Coracopsis nigra,Coracopsis_nigra,AVES,0.995976861693383,3,112428.519988189
pipe,0,0,0,Corythornis madagascariensis,Corythornis_madagascariensis,AVES,0.894443720384505,5,91413.3850066191
pipe,0,0,0,Coua caerulea,Coua_caerulea,AVES,0.999923357849972,6,43261.1604187311
pipe,0,0,0,Coua coquereli,Coua_coquereli,AVES,0.999934088614735,1,30978.4157262958
pipe,0,0,0,Coua cristata,Coua_cristata,AVES,0.999993467101693,4,82457.7263657002
pipe,0,0,0,Coua cursor,Coua_cursor,AVES,0.999730982957567,1,18335.9341827981
pipe,0,0,0,Coua gigas,Coua_gigas,AVES,0.999875333122457,1,31503.665529228
pipe,0,0,0,Coua reynaudii,Coua_reynaudii,AVES,0.999893536909553,4,36912.0383393462
pipe,0,0,0,Coua ruficeps,Coua_ruficeps,AVES,0.959346120072291,3,1327.46846918481
pipe,0,0,0,Coua serriana,Coua_serriana,AVES,0.991471316214561,1,32261.1250374597
pipe,0,0,0,Crossleyia xanthophrys,Crossleyia_xanthophrys,AVES,1,45,4117.99735246585
