removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1,1,prune,1,1000,89.5045005946285,1000,89.5045005946285,0.000468952089040871,0.000467754533990096,2131414,191259.791103504
2,1,prune,2,1000,87.9099216837426,2000,177.414422278371,0.000937904178081742,0.000927175727082062,2130414,191171.881181821
3,1,prune,3,1000,88.662016756808,3000,266.076439035179,0.00140685626712261,0.00139052740275402,2129414,191083.219165064
4,1,prune,4,1000,89.3775080259399,4000,355.453947061119,0.00187580835616348,0.00185761826788509,2128414,190993.841657038
5,1,prune,5,1000,89.4199504944921,5000,444.873897555611,0.00234476044520436,0.00232493093926018,2127414,190904.421706544
6,1,prune,6,1008,89.7898174535882,6008,534.663715009199,0.00281746415095755,0.0027941765519504,2126406,190814.63188909
7,1,prune,7,1005,88.6533892938594,7013,623.317104303059,0.00328876100044363,0.00325748314011408,2125401,190725.978499796
8,1,prune,8,1005,88.4286524169101,8018,711.745756719969,0.0037600578499297,0.00371961524328037,2124396,190637.549847379
9,1,prune,9,1003,88.9350041438646,9021,800.680760863833,0.0042304167952377,0.00418439356327937,2123393,190548.614843235
10,1,prune,10,1007,88.6010553741453,10028,889.281816237979,0.00470265154890186,0.00464742665203168,2122386,190460.013787861
11,1,prune,11,1006,88.3280166592258,11034,977.609832897205,0.00517441735047697,0.00510903282821524,2121380,190371.685771202
12,1,prune,12,1000,92.3790503633911,12034,1069.9888832606,0.00564336943951784,0.00559180988820778,2120380,190279.306720838
13,1,prune,13,1000,91.9442031470577,13034,1161.93308640765,0.00611232152855871,0.00607231441714679,2119380,190187.362517691
14,1,prune,14,1000,91.6983407488353,14034,1253.63142715649,0.00658127361759958,0.00655153405816683,2118380,190095.664176943
15,1,prune,15,1000,91.4494275733428,15034,1345.08085472983,0.00705022570664046,0.0070294528677691,2117380,190004.214749369
16,1,prune,16,1000,91.2164234906399,16034,1436.29727822047,0.00751917779568133,0.00750615398758595,2116380,189912.998325879
17,1,prune,17,1000,90.9819002621528,17034,1527.27917848262,0.0079881298847222,0.0079816294784934,2115380,189822.016425616
18,1,prune,18,1000,90.7566324648118,18034,1618.03581094744,0.00845708197376307,0.00845592770978967,2114380,189731.259793152
19,1,prune,19,1000,90.5629614037353,19034,1708.59877235117,0.00892603406280394,0.00892921380743546,2113380,189640.696831748
20,1,prune,20,1000,90.3835763585364,20034,1798.98234870971,0.00939498615184481,0.00940156243079042,2112380,189550.313255389
